,date,open,high,low,close,volume,hold,settle
0,2023-04-21,96.09,96.28,96.01,96.21,11587,4556,0.0
1,2023-04-24,96.28,96.41,96.26,96.37,4385,5430,0.0
2,2023-04-25,96.4,96.48,96.32,96.4,7308,6115,0.0
3,2023-04-26,96.44,96.51,96.38,96.43,5745,6419,0.0
4,2023-04-27,96.57,96.79,96.47,96.79,4479,6411,0.0
5,2023-04-28,96.79,96.79,96.55,96.64,4379,6370,0.0
6,2023-05-04,96.89,97.1,96.89,97.1,4220,6731,0.0
7,2023-05-05,97.16,97.57,97.13,97.45,5865,7262,0.0
8,2023-05-08,97.38,97.38,97.05,97.1,5165,7548,0.0
9,2023-05-09,97.15,97.23,97.08,97.17,5418,7501,0.0
10,2023-05-10,97.31,97.41,97.25,97.27,6545,7294,0.0
11,2023-05-11,97.51,97.69,97.4,97.45,4683,6556,0.0
12,2023-05-12,97.29,97.41,97.24,97.35,6230,6166,0.0
13,2023-05-15,97.26,97.4,97.12,97.23,3779,5713,0.0
14,2023-05-16,97.23,97.29,97.09,97.26,3187,4943,0.0
15,2023-05-17,97.29,97.35,97.11,97.21,1931,4535,0.0
16,2023-05-18,97.11,97.18,96.97,97.17,2078,4092,0.0
17,2023-05-19,96.83,97.0,96.79,96.97,5917,8538,0.0
18,2023-05-22,96.97,97.06,96.89,96.96,6401,8883,0.0
19,2023-05-23,97.01,97.24,97.01,97.15,5062,9249,0.0
20,2023-05-24,97.12,97.26,97.07,97.19,4825,9529,0.0
21,2023-05-25,97.16,97.18,96.96,97.04,6307,9929,0.0
22,2023-05-26,96.99,97.09,96.74,96.81,6532,10062,0.0
23,2023-05-29,96.71,96.99,96.7,96.99,6163,10116,0.0
24,2023-05-30,97.06,97.09,96.85,96.87,4583,10453,0.0
25,2023-05-31,96.92,97.06,96.86,97.06,5638,11023,0.0
26,2023-06-01,97.13,97.26,97.02,97.19,6550,11807,0.0
27,2023-06-02,97.13,97.16,96.63,96.7,7840,11735,0.0
28,2023-06-05,96.81,96.98,96.75,96.92,6881,12492,0.0
29,2023-06-06,96.97,97.08,96.9,97.07,5768,12628,0.0
30,2023-06-07,97.07,97.27,97.03,97.23,7788,12550,0.0
31,2023-06-08,97.22,97.22,97.08,97.15,7189,12460,0.0
32,2023-06-09,97.12,97.65,97.12,97.52,11007,13416,0.0
33,2023-06-12,97.56,97.74,97.53,97.62,7456,13832,0.0
34,2023-06-13,97.82,98.21,97.79,98.04,12246,15992,0.0
35,2023-06-14,98.44,98.51,98.18,98.33,12240,16232,0.0
36,2023-06-15,98.18,98.2,97.67,97.76,11949,16284,0.0
37,2023-06-16,97.64,97.71,97.13,97.38,16908,15778,0.0
38,2023-06-19,97.38,97.42,96.96,97.15,14627,16378,0.0
39,2023-06-20,97.22,97.43,97.21,97.36,10992,16418,0.0
40,2023-06-21,97.46,97.59,97.37,97.5,11569,15996,0.0
41,2023-06-26,97.6,97.75,97.55,97.7,11727,16279,0.0
42,2023-06-27,97.6,97.66,97.42,97.56,11122,16383,0.0
43,2023-06-28,97.64,97.79,97.6,97.78,10086,16054,0.0
44,2023-06-29,97.68,97.93,97.61,97.82,10206,17040,0.0
45,2023-06-30,97.94,98.11,97.82,98.1,10158,16839,0.0
46,2023-07-03,98.0,98.05,97.84,97.92,9074,17072,0.0
47,2023-07-04,97.9,98.13,97.36,97.71,12156,17314,0.0
48,2023-07-05,97.88,98.05,97.77,98.04,8216,17388,0.0
49,2023-07-06,98.03,98.12,97.88,97.97,12581,18224,0.0
50,2023-07-07,98.03,98.17,97.98,98.11,11898,17593,0.0
51,2023-07-10,98.09,98.29,97.94,98.28,12884,18350,0.0
52,2023-07-11,98.34,98.5,98.3,98.35,13144,18500,0.0
53,2023-07-12,98.36,98.49,98.27,98.49,13385,18222,0.0
54,2023-07-13,98.47,98.55,98.37,98.4,11866,17952,0.0
55,2023-07-14,98.36,98.53,98.22,98.37,16850,18061,0.0
56,2023-07-17,98.35,98.64,98.31,98.64,12033,18036,0.0
57,2023-07-18,98.68,98.89,98.64,98.79,12851,17894,0.0
58,2023-07-19,98.88,98.88,98.7,98.74,11397,17912,0.0
59,2023-07-20,98.69,98.92,98.57,98.86,11840,18833,0.0
60,2023-07-21,98.97,99.32,98.97,99.27,13430,19484,0.0
61,2023-07-24,99.4,99.59,99.29,99.54,10739,20469,0.0
62,2023-07-25,98.78,99.0,98.61,98.65,18773,19634,0.0
63,2023-07-26,98.72,99.15,98.68,99.1,16906,19828,0.0
64,2023-07-27,99.17,99.39,99.12,99.26,14930,19069,0.0
65,2023-07-28,99.31,99.4,98.98,99.1,15250,19242,0.0
66,2023-07-31,98.63,99.04,98.63,98.98,16026,18575,0.0
67,2023-08-01,99.06,99.24,99.01,99.05,13805,18326,0.0
68,2023-08-02,99.18,99.3,99.15,99.2,11064,17606,0.0
69,2023-08-03,99.25,99.43,99.25,99.37,12293,17439,0.0
70,2023-08-04,99.28,99.59,99.2,99.47,15606,17062,0.0
71,2023-08-07,99.48,99.55,99.41,99.54,10506,16157,0.0
72,2023-08-08,99.57,99.59,99.43,99.48,13186,14895,0.0
73,2023-08-09,99.5,99.55,99.45,99.53,11836,14011,0.0
74,2023-08-10,99.48,99.53,99.4,99.44,14297,13582,0.0
75,2023-08-11,99.48,99.62,99.45,99.55,12648,13129,0.0
76,2023-08-14,99.81,99.99,99.79,99.86,10105,12095,0.0
77,2023-08-15,100.2,100.83,100.2,100.56,12974,11229,0.0
78,2023-08-16,100.7,100.86,100.63,100.79,10286,10688,0.0
79,2023-08-17,100.77,100.79,100.48,100.49,13504,9457,0.0
80,2023-08-18,100.45,100.8,100.45,100.76,8140,9093,0.0
81,2023-08-21,100.6,101.37,100.59,101.16,21405,22228,0.0
82,2023-08-22,101.11,101.32,100.93,101.13,21256,23017,0.0
83,2023-08-23,101.05,101.25,101.05,101.22,15535,23785,0.0
84,2023-08-24,101.28,101.4,101.22,101.36,15335,25388,0.0
85,2023-08-25,101.36,101.47,101.01,101.11,19038,25437,0.0
86,2023-08-28,100.45,101.1,100.4,101.03,18682,27579,0.0
87,2023-08-29,101.09,101.09,100.63,100.78,21831,28072,0.0
88,2023-08-30,100.71,101.07,100.67,100.8,23723,28540,0.0
89,2023-08-31,100.88,101.0,100.74,100.87,19195,29046,0.0
90,2023-09-01,100.67,100.78,100.32,100.39,20826,31308,0.0
91,2023-09-04,99.93,100.07,99.61,99.77,28771,31159,0.0
92,2023-09-05,99.85,99.89,99.57,99.59,18877,32859,0.0
93,2023-09-06,99.68,99.76,99.2,99.23,22382,33650,0.0
94,2023-09-07,99.22,99.39,98.85,98.96,25589,33281,0.0
95,2023-09-08,99.17,99.34,98.81,99.23,21263,33495,0.0
96,2023-09-11,99.03,99.26,98.76,99.12,25897,34564,0.0
97,2023-09-12,99.3,99.52,99.1,99.14,23216,34271,0.0
98,2023-09-13,99.24,99.41,99.15,99.31,21066,34018,0.0
99,2023-09-14,99.31,99.93,99.26,99.84,24603,35568,0.0
100,2023-09-15,99.86,99.86,99.13,99.14,32445,34013,0.0
101,2023-09-18,98.94,99.04,98.66,98.93,28771,32924,0.0
102,2023-09-19,98.94,99.17,98.94,99.02,24607,33760,0.0
103,2023-09-20,98.94,99.06,98.87,98.94,19382,34134,0.0
104,2023-09-21,98.95,99.24,98.92,99.14,28104,34053,0.0
105,2023-09-22,99.12,99.2,98.52,98.55,26134,34046,0.0
106,2023-09-25,98.63,98.74,98.17,98.3,24364,33796,0.0
107,2023-09-26,98.3,98.39,98.01,98.33,18783,34388,0.0
108,2023-09-27,98.45,98.54,98.21,98.4,20128,35325,0.0
109,2023-09-28,98.44,98.9,98.38,98.82,23275,35084,0.0
110,2023-10-09,98.81,99.0,98.71,98.93,22006,34749,0.0
111,2023-10-10,98.8,98.87,98.68,98.77,15954,34871,0.0
112,2023-10-11,98.64,98.65,98.36,98.46,19427,35113,0.0
